id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
,lightgreen,yes,plate,rectangle,2*4,8,no,0,yes
,lightbrown,yes,plate,rectangle,2*8,16,no,0,yes
,lightgreen,yes,brick,square,2*2,4,no,0,yes
,lightpink,yes,brick,square,2*2,4,no,0,yes
,red,yes,brick,rectangle,2*4,8,no,0,yes
,yellow,yes,brick,square,2*2,4,no,0,yes
,darkblue,yes,brick,rectangle,2*4,8,no,0,yes
,darkblue,no,brick,rectangle,2*6,12,no,0,yes
,darkblue,no,brick,rectangle,2*3,6,no,0,yes
,red,no,brick,rectangle,2*4,8,no,0,yes
,darkgreen,no,brick,rectangle,1*3,3,no,0,yes
,darkpink,no,brick,rectangle,1*4,4,no,0,yes
,yellow,no,brick,square,2*2,4,no,0,yes
,yellow,no,brick,rectangle,1*2,2,no,0,yes
,orange,no,brick,square,1*2,2,yes,45,yes
,darkpurple,no,brick,rectangle,1*2,2,yes,45,yes
,red,no,brick,rectangle,1*1,1,yes,45,yes
,lightpurple,no,brick,square,1*1,1,no,0,yes
,lightpink,no,brick,rectangle,1*2,2,no,0,yes
,white,no,plate,rectangle,2*8,16,no,0,yes
,grey,no,plate,rectangle,4*6,24,no,0,yes
,grey,no,plate,triangle,1*4,4,yes,15,yes
,mudbrown,no,plate,rectangle,1*4,4,no,0,yes
,white,no,plate,rectangle,2*3,6,no,0,yes
,black,no,plate,square,1*2,2,no,0,yes
,lightbrown,no,plate,trapezium,2*2,4,no,0,yes
,grey,no,plate,rectangle,2*4,8,no,0,yes
,white,no,plate,rectangle,2*3,0,no,0,yes
,turquoise,no,plate,rectangle,1*2,2,no,0,yes
,lightblue,no,plate,rectangle,1*1,0,no,0,yes
,yellow,no,plate,square,2*2,4,no,0,yes
,darkblue,no,plate,square,1*1,1,no,0,yes
,darkpink,no,plate,square,1*1,1,no,0,yes
,neon orange,no,plate,rectangle,1*2,2,no,0,yes
,neon dark yellow,no,plate,circle,1*1,1,no,0,yes
,neon light yellow,no,plate,circle,1*1,1,no,0,yes
,orange,no,plate,circle,2*2,12,no,0,yes
,lightpink,no,plate,circle,1*1,4,no,0,yes
,darkbrown,no,plate,triangle,1*1,0,yes,45,yes
,grey,no,brick,circle,1*1,4,no,0,yes
,black,no,brick,square,1*1,1,yes,45,yes
