id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
,red,yes,brick,rectangle,4 X 2,8,no,0,1
,bright green,yes,brick,rectangle,4 X 2,8,no,0,1
,pink,yes,brick,square,2 X 2,4,no,0,1
,peach,yes,brick,square,2 X 2,4,no,0,1
,blue,yes,brick,square,2 X 2,4,no,0,1
,white,yes,plate,rectangle,8 X 2,16,no,0,1
,blue,yes,plate,rectangle,4 X 2,8,no,0,1
,blue,no,brick,rectangle,6 X 2,12,no,0,1
,white,no,brick,rectangle,4 X 2,8,no,0,1
,pear,no,plate,rectangle,4 X 1,0,no,0,1
,pear,no,plate,rectangle,2 X 1,2,no,0,1
,bright green,no,brick,rectangle,3 X 2,6,no,0,1
,dark green ,no,brick,square,2 X 2,4,no,0,1
,dark green,no,plate,rectangle,6 X 4,24,no,0,1
,blue,no,plate,rectangle,4 X 2,8,no,0,1
,turquoise,no,brick,rectangle,4 X 1,4,no,0,1
,turquoise,no,plate,trapezoid,4 X 2,4,no,0,1
,sky blue,no,plate,square,1 X 1,1,no,0,1
,sky blue,no,brick,rectangle,2 X 1,1,yes,45,1
,red,no,plate,rectangle,8 X 2,16,no,0,1
,yellow,no,plate,rectangle,3 X 2,6,no,0,1
,yellow,no,brick,rectangle,2 X 1,2,no,0,1
,bright yellow,no,plate,rectangle,2 X 1,2,no,0,1
,bright yellow,no,plate,square,1 X 1,1,no,0,1
,white,no,plate,square,2 X 2,4,no,0,1
,white,no,plate,circle,4 X 4,12,no,0,1
,black,no,plate,square,2 X 2,2,no,0,1
,black,no,plate,circle,2 X 2,4,no,0,1
,black,no,brick,square,2 X 1,2,yes,45,1
,navy blue,no,plate,trapezoid,4 X 2,4,no,0,1
,grey,no,brick,circle,2 X 2,4,no,0,1
,grey,no,brick,rectangle,2 X 2,4,no,0,1
,purple,no,brick,rectangle,2 X 1,2,no,0,1
,pink,no,brick,rectangle,3 X 1,3,no,0,1
,orange,no,brick,square,1 X 1,1,no,0,1
,maroon,no,brick,square,2 X 2,2,yes,45,1
,cream,no,plate,rectangle,2 X 1,2,no,0,1
,khaki,no,plate,rectangle,4 X 1,4,no,0,1
,neon green,no,plate,circle,1 X 1,1,no,0,1
,neon yellow,no,plate,square,1 X 1,0,yes,30,1
,neon blue,no,plate,circle,1 X 1,0,no,0,1
