id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
1,Dark Blue,True,Brick,Rectangle,2x4,8,False,0.0,1
2,Green,True,Brick,Rectangle,2x4,8,False,0.0,1
3,Coral,True,Brick,Square,2x2,4,False,0.0,1
4,Red,True,Brick,Square,2x2,4,False,0.0,1
5,White,True,Brick,Square,2x2,4,False,0.0,1
6,Green,True,Plate,Rectangle,2x4,8,False,0.0,1
7,Light Green,True,Plate,Rectangle,2x8,16,False,0.0,1
8,Orange,False,Brick,Square,2x2,4,False,0.0,1
9,Orange,False,Plate,Rectangle,1x4,4,False,0.0,1
10,Yellow,False,Brick,Rectangle,2x4,8,False,0.0,1
11,Yellow,False,Brick,Rectangle,1x3,3,False,0.0,1
12,Dark Blue,False,Brick,Rectangle,2x6,12,False,0.0,1
13,Brown,False,Brick,Rectangle,1x2,2,False,0.0,1
14,Red,False,Plate,Square,2x2,4,False,0.0,1
15,Purple,False,Plate,Rectangle,4x6,24,False,0.0,1
16,Lilac,False,Brick,Square,1x2,2,True,45.0,1
17,Orchid,False,Brick,Rectangle,2x2,4,True,45.0,1
18,Dark Grey,False,Plate,Rectangle,2x8,16,False,0.0,1
19,Light Grey,False,Brick,Square,1x1,1,False,0.0,1
20,Pink,False,Plate,Rectangle,2x3,6,False,0.0,1
21,Dark Green,False,Plate,Rectangle,2x4,8,False,0.0,1
22,Cream,False,Brick,Rectangle,2x3,6,False,0.0,1
23,Red,False,Brick,Circle,2x2,4,False,0.0,1
24,Black,False,Plate,Trapezium,1x4,4,False,0.0,1
25,Black,False,Plate,Square,1x2,2,False,0.0,1
26,Black,False,Brick,Rectangle,1x1,1,True,45.0,1
27,Dark Blue,False,Brick,Square,1x2,2,True,45.0,1
28,White,False,Plate,Circle,2x2,4,False,0.0,1
29,Red Brown,False,Plate,Rectangle,0x0,0,False,0.0,1
30,Neon Yellow,False,Plate,Square,0x0,0,False,0.0,1
31,Cyan,False,Plate,Rectangle,1x2,2,False,0.0,1
32,Denim Blue,False,Plate,Rectangle,0x0,0,False,0.0,1
33,Ice Blue,False,Brick,Rectangle,1x4,4,False,0.0,1
34,Capri,False,Brick,Rectangle,1x2,2,False,0.0,1
35,Shiny Green,False,Brick,Square,0x0,0,True,45.0,1
36,Olive Green,False,Plate,Rectangle,1x2,2,False,0.0,1
37,Beige,False,Plate,Trapezium,2x2,4,False,0.0,1
38,Beige,False,Plate,Square,1x1,1,False,0.0,1
39,Beige,False,Plate,Circle,2x4,12,False,0.0,1
40,Bright Pink,False,Plate,Circle,1x1,1,False,0.0,1
41,Transparent,False,Plate,Circle,0x0,0,False,0.0,1
42,Light Green,True,Plate,Rectangle,2x4,8,False,0.0,1
43,Light Brown,True,Plate,Rectangle,2x8,16,False,0.0,1
44,Light Green,True,Brick,Square,2x2,4,False,0.0,1
45,Light Pink,True,Brick,Square,2x2,4,False,0.0,1
46,Red,True,Brick,Rectangle,2x4,8,False,0.0,1
47,Yellow,True,Brick,Square,2x2,4,False,0.0,1
48,Dark Blue,True,Brick,Rectangle,2x4,8,False,0.0,1
49,Dark Blue,False,Brick,Rectangle,2x6,12,False,0.0,1
50,Dark Blue,False,Brick,Rectangle,2x3,6,False,0.0,1
51,Red,False,Brick,Rectangle,2x4,8,False,0.0,1
52,Dark Green,False,Brick,Rectangle,1x3,3,False,0.0,1
53,Dark Pink,False,Brick,Rectangle,1x4,4,False,0.0,1
54,Yellow,False,Brick,Square,2x2,4,False,0.0,1
55,Yellow,False,Brick,Rectangle,1x2,2,False,0.0,1
56,Orange,False,Brick,Square,1x2,2,True,45.0,1
57,Dark Purple,False,Brick,Rectangle,1x2,2,True,45.0,1
58,Red,False,Brick,Rectangle,1x1,1,True,45.0,1
59,Light Purple,False,Brick,Square,1x1,1,False,0.0,1
60,Light Pink,False,Brick,Rectangle,1x2,2,False,0.0,1
61,White,False,Plate,Rectangle,2x8,16,False,0.0,1
62,Grey,False,Plate,Rectangle,4x6,24,False,0.0,1
63,Grey,False,Plate,Triangle,1x4,4,True,15.0,1
64,Mud Brown,False,Plate,Rectangle,1x4,4,False,0.0,1
65,White,False,Plate,Rectangle,2x3,6,False,0.0,1
66,Black,False,Plate,Square,1x2,2,False,0.0,1
67,Light Brown,False,Plate,Trapezium,2x2,4,False,0.0,1
68,Grey,False,Plate,Rectangle,2x4,8,False,0.0,1
