id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
1,Baby Blue,False,Plate,Rectangle,1x4,4,False,0.0,1
2,Beige,False,Brick,Rectangle,1x3,3,False,0.0,1
3,Beige,False,Plate,Circle,2x4,12,False,0.0,1
4,Beige,False,Plate,Rectangle,2x4,6,False,0.0,1
5,Beige,False,Plate,Square,1x1,1,False,0.0,1
6,Beige,False,Plate,Trapezium,2x2,4,False,0.0,1
7,Black,False,Brick,Circle,2x2,4,False,0.0,1
8,Black,False,Brick,Rectangle,1x1,1,True,45.0,1
9,Black,False,Brick,Square,1x1,1,True,45.0,1
10,Black,False,Brick,Square,1x2,2,True,45.0,1
11,Black,False,Plate,Circle,2x2,4,False,0.0,1
12,Black,False,Plate,Rectangle,2x8,16,False,0.0,1
13,Black,False,Plate,Square,1x2,2,False,0.0,2
14,Black,False,Plate,Square,2x2,2,False,0.0,3
15,Black,False,Plate,Square,2x2,4,False,0.0,1
16,Black,False,Plate,Trapezium,1x4,4,False,0.0,1
17,Black,True,Brick,Square,2x2,4,False,0.0,1
18,Blck,False,Plate,Trapezium,2x2,4,False,0.0,1
19,Blue,False,Brick,Rectangle,2x6,12,False,0.0,3
20,Blue,False,Brick,Square,2x2,4,False,0.0,1
21,Blue,False,Plate,Rectangle,2x4,8,False,0.0,1
22,Blue,False,Plate,Trapezium,2x2,4,False,0.0,1
23,Blue,True,Brick,Rectangle,2x4,8,False,0.0,1
24,Blue,True,Brick,Square,2x2,4,False,0.0,2
25,Blue,True,Plate,Rectangle,2x4,8,False,0.0,1
26,Brick Red,False,Brick,Rectangle,1x2,2,False,0.0,1
27,Brick Red,False,Plate,Rectangle,1x2,2,False,0.0,1
28,Bright Green,False,Brick,Rectangle,2x3,6,False,0.0,1
29,Bright Green,True,Brick,Rectangle,2x4,8,False,0.0,1
30,Bright Pink,False,Plate,Circle,1x1,1,False,0.0,1
31,Bright Yellow,False,Plate,Rectangle,1x2,2,False,0.0,1
32,Bright Yellow,False,Plate,Square,1x1,1,False,0.0,1
33,Brown,False,Brick,Rectangle,1x2,2,False,0.0,1
34,Brown,False,Brick,Rectangle,1x2,2,True,45.0,1
35,Cafe,False,Plate,Circle,2x2,4,False,0.0,1
36,Capri,False,Brick,Rectangle,1x2,2,False,0.0,1
37,Coral,True,Brick,Square,2x2,4,False,0.0,1
38,Coral,True,Plate,Rectangle,2x4,8,False,0.0,1
39,Cream,False,Brick,Rectangle,2x3,6,False,0.0,1
40,Cream,False,Plate,Rectangle,1x2,2,False,0.0,1
41,Cyan,False,Brick,Rectangle,1x4,4,False,0.0,1
42,Cyan,False,Plate,Rectangle,1x2,2,False,0.0,1
43,Dark Blue,False,Brick,Rectangle,2x3,6,False,0.0,1
44,Dark Blue,False,Brick,Rectangle,2x6,12,False,0.0,2
45,Dark Blue,False,Brick,Square,1x2,2,True,45.0,1
46,Dark Blue,False,Plate,Square,1x1,1,False,0.0,1
47,Dark Blue,False,Plate,Trapezium,1x4,4,False,0.0,1
48,Dark Blue,True,Brick,Rectangle,2x4,8,False,0.0,2
49,Dark Brown,False,Plate,Triangle,1x1,0,True,45.0,1
50,Dark Green,False,Brick,Rectangle,1x3,3,False,0.0,1
51,Dark Green,False,Brick,Square,2x2,4,False,0.0,1
