name,artist,html,dbscan_cluster,playlist_name
"Ravel: Boléro, M. 81                                                                                                                                                           ",Maurice Ravel                                   ,https://open.spotify.com/track/7E1ErYYCn0lYjHODZ1qGuB,1,Feel Good Pop
"Overture to A Midsummer Night's Dream, Op.21                                                                                                                                   ",Felix Mendelssohn                               ,https://open.spotify.com/track/1QaIrWYD8GxsDiWpgFB1gY,1,Feel Good Pop
Samba da Bênção                                                                                                                                                                  ,Maria Bethânia                                  ,https://open.spotify.com/track/2moGHNaU8a4j1iowyOiYnF,1,Feel Good Pop
Acabou Chorare                                                                                                                                                                   ,Sílvia Pérez Cruz                               ,https://open.spotify.com/track/6OjHVvTLiSgdQkV6qvAd0h,1,Feel Good Pop
Ui! (Voce Inventa)                                                                                                                                                               ,Tom Zé                                          ,https://open.spotify.com/track/4hWkFHdXxp85FKyQuZryiZ,1,Feel Good Pop
"Augusta, Angélica e Consolação                                                                                                                                                 ",Tom Zé                                          ,https://open.spotify.com/track/0PIZDOonVDpNlEkjmtuVFb,1,Feel Good Pop
Todos os olhos                                                                                                                                                                   ,Tom Zé                                          ,https://open.spotify.com/track/6QTIxxuNsTYLHQ4nf1lmDJ,1,Feel Good Pop
Vai (Menina amanhã de manhã)                                                                                                                                                     ,Tom Zé                                          ,https://open.spotify.com/track/5OjDD3tZErNCn5QqqpJmKf,1,Feel Good Pop
"Symphony No. 15 in A Major, Op. 141: I. Allegretto                                                                                                                             ",Dmitri Shostakovich                             ,https://open.spotify.com/track/24c4y4WyYAe8YiHi2urD7L,1,Feel Good Pop
Insensatez: A Mulher Que Fez                                                                                                                                                     ,Graveola                                        ,https://open.spotify.com/track/4UU7oEsj9qJuKD3exXHPlb,1,Feel Good Pop
"Symphony in D, H.I No.6 - ""Le Matin"": 1. Adagio - Allegro                                                                                                                    ",Franz Joseph Haydn                              ,https://open.spotify.com/track/1ZZO2cU9xSbJrtBclJA3wU,1,Feel Good Pop
Turangalila-symphonie: I. Introduction                                                                                                                                           ,Olivier Messiaen                                ,https://open.spotify.com/track/4atbTjbpzc1142MnGMKgCU,1,Feel Good Pop
Ponto De Marinheiro / Marinheiro Só                                                                                                                                              ,Zé Maurício Machline                            ,https://open.spotify.com/track/4Z230VwFWGMTJs6CrTwYky,1,Feel Good Pop
Argumento                                                                                                                                                                        ,Paulinho Da Viola                               ,https://open.spotify.com/track/5SK175I291bHHcroTHUwQn,1,Feel Good Pop
Chuck Berry Fields Forever                                                                                                                                                       ,Gilberto Gil                                    ,https://open.spotify.com/track/5cEHUIuDkbTtFW5eoTp4bI,1,Feel Good Pop
Brasil Pandeiro                                                                                                                                                                  ,Novos Baianos                                   ,https://open.spotify.com/track/2Er0f1mhO0g1rov9Cdi5Wk,1,Feel Good Pop
Preta Pretinha                                                                                                                                                                   ,Novos Baianos                                   ,https://open.spotify.com/track/0q1hmhVWdR04mZup6mR56u,1,Feel Good Pop
"Symphony No. 4 - ""The Inextinguishable"": I. Allegro                                                                                                                          ",Carl Nielsen                                    ,https://open.spotify.com/track/5L3iedRAALEijOPYREjKP2,1,Feel Good Pop
Máquina de Ritmo - Ao Vivo                                                                                                                                                       ,Gilberto Gil                                    ,https://open.spotify.com/track/3hv8SDnq2ETLT5FoMY28Da,1,Feel Good Pop
Copland: Appalachian Spring: VII. Doppio movimento (Variations on a Shaker Hymn - Simple Gifts)                                                                                  ,Aaron Copland                                   ,https://open.spotify.com/track/19SN5mb0gs0ze9PYBIVANZ,1,Feel Good Pop
Sabor Colorido / Moça Bonita                                                                                                                                                     ,"Elomar, Geraldo Azevedo, Vital Farias, Xangai ",https://open.spotify.com/track/2ctBnKIGC5KoWUg8reeCTL,1,Feel Good Pop
"A Dante Symphony, S.109: 1. Inferno                                                                                                                                            ",Franz Liszt                                     ,https://open.spotify.com/track/4Y75CMjbhmRGAkyNq9vMc5,1,Feel Good Pop
Choros No. 8                                                                                                                                                                     ,Heitor Villa-Lobos                              ,https://open.spotify.com/track/5qMBDUqS4OVfsqmb2tIWFA,1,Feel Good Pop
"Má vlast (My Country): No. 2, Vltava [Moldau]                                                                                                                                  ",Bedřich Smetana                                 ,https://open.spotify.com/track/0P3TUNfXfhdJ4rgdZAUL6i,1,Feel Good Pop
Tanto Mar                                                                                                                                                                        ,Chico Buarque                                   ,https://open.spotify.com/track/4mvb2QrG9ea14U9BQ8U9Q0,1,Feel Good Pop
Violão Vadio                                                                                                                                                                     ,Raphael Rabello                                 ,https://open.spotify.com/track/5zE2UL4L0EAOl0do6kD3Hp,1,Feel Good Pop
"Tod und Verklärung Op.24, TrV 158                                                                                                                                              ",Richard Strauss                                 ,https://open.spotify.com/track/0khJ40OuZxPzLgLVC3bKZY,1,Feel Good Pop
"Symphony No.38 In D, K.504 ""Prague"": 1. Adagio - Allegro - Live                                                                                                              ",Wolfgang Amadeus Mozart                         ,https://open.spotify.com/track/6neUlEOCsnrQFoED0jzfim,1,Feel Good Pop
"La Mer, L.109: 1. From Dawn Till Noon On The Sea (De l'aube à midi sur la mer)                                                                                                 ",Claude Debussy                                  ,https://open.spotify.com/track/5mEHVyfhuqXAGIIIv8hxcd,1,Feel Good Pop
Kenha Ki Ben Ki Ta Bai - Live                                                                                                                                                    ,Mayra Andrade                                   ,https://open.spotify.com/track/1RxLaLlc23nfFxYF2e2skg,1,Feel Good Pop
Baião Destemperado                                                                                                                                                               ,Barbatuques                                     ,https://open.spotify.com/track/1EoV0vQjHaMQ8WehQGXS8O,1,Feel Good Pop
